	text	user	len	ID	Date	Source	Like	RTs	Geo
125	RT @Dieter_Schell: Unsere Kolleginnen und Kollegen aus dem medizinischen Bereich des #UKF #Frankfurt suchen #StudentenInnen #COVID19 #coron…	Klarname Labrador 14	140	1241512767854710784	2020-03-21 23:51:24	Twitter for Android	0	41	
126	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Maximilian Pichl	140	1241512736976240645	2020-03-21 23:51:17	Twitter for Android	0	39	
127	RT @lipsandskin: Das Problem bei #covid19 ist sicherlich, dass niemand weiß, wer Wirt ist und oft der Wirt selbst auch nicht. Selbst eine T…	Elvis	140	1241512708631080966	2020-03-21 23:51:10	Twitter for Android	0	13	
128	"RT @zeitonline: #Italien lässt sämtliche ""nicht lebensnotwendigen"" Unternehme und Fabriken schließen. Unser Newsblog  #CoronavirusDeutschla…"	Snowy Carpender	140	1241512689362522113	2020-03-21 23:51:05	Twitter Web App	0	25	
129	RT @ToniStraka: Augenzeugen in München berichten von vermehrter Polizei wegen der Ankunft von 20.000 Ausländern mit Flixbus, Bahn und Lufth…	BuchmacherHB	140	1241512601470881792	2020-03-21 23:50:45	Twitter Web App	0	3	
130	RT @Stadt_Wien: Auch wenn es schwer fällt: Ihr müsst jetzt auch einmal ein bisserl brav sein! So eine Eilmeldung des kaiserlichen Hofes mit…	Bernhard Gschaider	140	1241512534647111680	2020-03-21 23:50:29	TweetDeck	0	665	
131	RT @ZDFheute: Es wird immer deutlicher, dass auch viele jüngere Menschen schwer an an Corona erkranken. Die @WHO warnt eindringlich und ruf…	Rick_Casablanca	140	1241512472609206277	2020-03-21 23:50:14	Twitter for iPhone	0	919	
132	In der #Coronakrise zeigt sich besonders deutlich, warum ein Gesundheitssystem nur funktionieren kann, wenn es niem… https://t.co/EGAEIII7o4	Ärzte der Welt	140	1241512413553258498	2020-03-21 23:50:00	TweetDeck	0	0	
133	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Bettina Guenter	140	1241512376014376963	2020-03-21 23:49:51	Twitter for Android	0	39	
134	"Heute auf der Arbeit gehört:

Der ganze Rummel um #Covid19 sei überzogen und sowieso nur noch nervig; es sei nun en… https://t.co/TonGz3Elix"	Tessa Taubenschlag	140	1241512334008422406	2020-03-21 23:49:41	Twitter for Android	1	0	
135	"RT @caglaronbasi: Wie kann man richtig Hände waschen? 
Warum sollte man mindestens 20 Sekunden Hände waschen? 

#StayAtHome #stayhome #wirb…"	samhain	140	1241512330460102658	2020-03-21 23:49:40	Twitter for Android	0	676	
136	RT @Andrerseits: Mit dem Projekt https://t.co/5vDKzejF9Q kannst du dein Lieblingskino während dieser schwierigen Lage unterstützen. Vor all…	🌟 Key 🖤🦅 🌟	140	1241512324436901888	2020-03-21 23:49:38	Twitter for Android	0	348	
137	RT @MDRAktuell: Russland schickt Italien medizinische und personelle Hilfe. Der Kreml stellt nach eigenen Angaben auf Bitten Italiens Schut…	Elvis	140	1241512307248766977	2020-03-21 23:49:34	Twitter for Android	0	222	
138	RT @MDRAktuell: Intensivmediziner klagen über massiven Preisanstieg bei wichtigen Medikamenten. Deutsche Gesellschaft für Anästhesiologie u…	Andreas Tolloschek	140	1241512168396337153	2020-03-21 23:49:01	Twitter for Android	0	206	
139	"RT @Fischblog: Wichtig!
Im Moment reden alle über die #Covid19-Tests. Aber das ist nur das Symptom eines viel größeren Problems: In der Med…"	Thomas Blankenburg	140	1241512143511568387	2020-03-21 23:48:55	Twitter for Android	0	20	
140	"RT @PolizeiBerlin_E: Über 100 Erwachsene und Kinder trafen sich heute Nachmittag im Strandbad #Müggelsee.
Mit dieser Schnapsidee sind die V…"	Hanna Julian	140	1241512112339501056	2020-03-21 23:48:48	Twitter for Android	0	1357	
141	RT @ZDFheute: Es wird immer deutlicher, dass auch viele jüngere Menschen schwer an an Corona erkranken. Die @WHO warnt eindringlich und ruf…	Lucky Mushroom 🍄🌍	140	1241512075991580672	2020-03-21 23:48:39	Twitter for Android	0	919	
142	RT @NiemaMovassat: Die Beschäftigten der Labor #Berlin GmbH, welche die #Coronavirus-Untersuchungen für die Charité und das Vivantes machen…	Robin S.	140	1241511991677718533	2020-03-21 23:48:19	Twitter for Android	0	198	
143	RT @Andrerseits: Mit dem Projekt https://t.co/5vDKzejF9Q kannst du dein Lieblingskino während dieser schwierigen Lage unterstützen. Vor all…	I dunno	140	1241511962107920385	2020-03-21 23:48:12	Twitter for Android	0	348	
144	"RT @Fischblog: Wichtig!
Im Moment reden alle über die #Covid19-Tests. Aber das ist nur das Symptom eines viel größeren Problems: In der Med…"	Klang Ruinen - Ⓐ⚑★🕷️	140	1241511885675126787	2020-03-21 23:47:54	Twitter for Android	0	20	
145	"RT @SEENOTRETTUNG: #CORONAVIRUS
#Moria ist #COVID19 hilflos ausgeliefert! #savethem 
Quelle: https://t.co/Kdlsnx1wwo https://t.co/GPVupHF5d2"	Marco Schade	140	1241511832315191302	2020-03-21 23:47:41	Twitter for Android	0	48	
146	RT @lipsandskin: Dass wir den Italienern in Ihrer Not nicht helfen können, weil wir selbst am letzten Loch pfeifen, ist die eigentliche Sch…	Ally Kingsley	140	1241511825541402626	2020-03-21 23:47:40	Twitter for Android	0	73	
147	RT @rbb24: 👏 Für ihren Einsatz während der #Coronakrise bekamen Ärzt*innen und Pfleger*innen heute eine Runde Applaus von Berliner Balkonen…	PaC	140	1241511795325624326	2020-03-21 23:47:32	Twitter Web App	0	47	
148	RT @hustendoktor: Hustis Weisheiten zur #Covid19. Die Intensivmediziner mögen sich die Haare raufen, dies hier ist Eminenz based und reine…	Felix Lorang DFTT	139	1241511763792797697	2020-03-21 23:47:25	Twitter Web App	0	4	
149	RT @sven_kindler: #Coronavirus: Unsere Ideensammlung für den Schutz von Menschen, Unternehmen und Beschäftigen. U.a. regen wir einen Rettun…	Nuclear Football 🇪🇺🇦🇹 🌏	140	1241511763331420160	2020-03-21 23:47:25	Twitter for Android	0	89	
150	RT @Nordkurier: An diesem Sonntag wollen Bundeskanzlerin Angela #Merkel und die Ministerpräsidenten beraten, ob es bundesweit einheitliche…	Dr. Jörg D. Valentin	139	1241511752682156032	2020-03-21 23:47:22	Twitter Web App	0	2	
151	RT @DATEV: Mittlerweile sind auch kostenlose Lernvideos zur #Kurzarbeit bei uns verfügbar. Alle weiteren aktuellen Infos wie immer auf http…	Mira	140	1241511729097519107	2020-03-21 23:47:17	Twitter for iPhone	0	15	
152	RT @JanaGenth: Auch #Malawi greift wegen des #Coronavirus durch: Reisende aus besonders betroffenen Ländern dürfen nicht mehr einreisen, Sc…	Timon Zingg	140	1241511661690925057	2020-03-21 23:47:00	Twitter for iPhone	0	2	
153	RT @Markus_Soeder: Vorläufige Ausgangsbeschränkung in Bayern anlässlich der Corona-Pandemie. #COVID19 #bayern https://t.co/WwHYYAvBQv	Jill Wintermeyer	133	1241511631407980544	2020-03-21 23:46:53	Twitter for Android	0	832	
154	"RT @Florian_Kain: Massive Ärzte-Kritik an Bundesregierung: „Nicht eine einzige Maske haben wir gekriegt"" #Covid19 @BILD_Politik https://t.c…"	Ragnar ᚻᛞᛟ	140	1241511598784745472	2020-03-21 23:46:45	Twitter for Android	0	155	
155	RT @insertmoin: Sonntagspodcast von unserer @Bambiinupendi über die Absage der #E32020 wegen #covid19: Was hat das für Folgen für die Zukun…	ONE PLAYER MODE	140	1241511568099008512	2020-03-21 23:46:38	Twitter for Android	0	2	
156	"RT @PolizeiBerlin_E: Über 100 Erwachsene und Kinder trafen sich heute Nachmittag im Strandbad #Müggelsee.
Mit dieser Schnapsidee sind die V…"	Jessa	140	1241511542736261120	2020-03-21 23:46:32	Twitter for Android	0	1357	
157	"RT @zeitonline: #Italien lässt sämtliche ""nicht lebensnotwendigen"" Unternehme und Fabriken schließen. Unser Newsblog  #CoronavirusDeutschla…"	Susanne-007	140	1241511535454887937	2020-03-21 23:46:30	Twitter Web App	0	25	
158	RT @heutejournal: #Italien|s Kliniken sind am Limit. Die Ärzte dort sprechen von der größten medizinischen Krise seit dem zweiten Weltkrieg…	🌱	140	1241511502835744770	2020-03-21 23:46:23	Twitter for iPhone	0	3136	
159	"RT @Fischblog: Wichtig!
Im Moment reden alle über die #Covid19-Tests. Aber das ist nur das Symptom eines viel größeren Problems: In der Med…"	Goldkäferli	140	1241511484007514112	2020-03-21 23:46:18	Twitter Web App	0	20	
160	RT @maternus: Ich finde ja, Robert Habecks ökonomische Expertise in #covid19-Zeiten sollte im Lande so weit wie möglich verbreitet werden.…	Tobias Winkler 🇪🇺	139	1241511433822785537	2020-03-21 23:46:06	Twitter for iPhone	0	245	
161	"RT @Fischblog: Wichtig!
Im Moment reden alle über die #Covid19-Tests. Aber das ist nur das Symptom eines viel größeren Problems: In der Med…"	Alles voller Katzenhaare bleibt zu Hause	140	1241511415883710465	2020-03-21 23:46:02	Twitter Web App	0	20	
162	"RT @MDRAktuell: Ärzte des ""Nierenzentrums"" im Ilm-Kreis bitten die Bevölkerung um Hilfe. Ihnen fehlen Schutzmasken der Kategorien FFP2 und…"	wildcat	139	1241511353329815555	2020-03-21 23:45:47	Twitter for iPad	0	275	
163	"RT @Fischblog: Wichtig!
Im Moment reden alle über die #Covid19-Tests. Aber das ist nur das Symptom eines viel größeren Problems: In der Med…"	EigenArt	140	1241511284966920197	2020-03-21 23:45:31	Twitter for Android	0	20	
164	"RT @MDRAktuell: Ärzte des ""Nierenzentrums"" im Ilm-Kreis bitten die Bevölkerung um Hilfe. Ihnen fehlen Schutzmasken der Kategorien FFP2 und…"	freddy_gonzales	139	1241511240964374528	2020-03-21 23:45:20	Twitter Web App	0	275	
165	"RT @claudia_kade: Auf den Intensivstationen landen immer öfter junge Coronapatienten, manche um die 20

""Wir sehen das ganze Altersspektrum…"	Nix	140	1241511208466989062	2020-03-21 23:45:12	Twitter for iPhone	0	343	
166	RT @oebblokfuehrer: Ich habe dieses Video zwar schon mal gepostet, aber in der jetzigen Situation passt es sehr gut. WIR sind für EUCH da!…	Michael Marugg	139	1241511155451015173	2020-03-21 23:45:00	Twitter for iPhone	0	4	
167	"RT @EickeTarkus: Damit es irgendwann auch der letzte kapiert, muss man auch mal kreativ sein. 😉😁😄😂

#COVID19 #Corona #CoronaVirusDE #COVIDー…"	Just‘n‘Case	140	1241511141647540230	2020-03-21 23:44:56	Twitter for iPhone	0	43	
168	RT @FlyingdanV: Neues Video online! #corona #covid19 #youtube #youtubedeutschland #youtubecreator #Creator https://t.co/R4VAtgJqaz	Sebastian Clauss	130	1241511138556358656	2020-03-21 23:44:56	Twitter for iPhone	0	3	
169	Mobile version! @kylebiehle #covid19 #datascience https://t.co/txCv4YCpPa	margot biehle	73	1241511107862224897	2020-03-21 23:44:48	Twitter for iPhone	0	0	
